1.04677490714 0.0 1e-12
1.14032472142 0.0 1e-12
1.24262610345 0.0 1e-12
1.35449776077 0.0 1e-12
1.47683499085 0.0 1e-12
1.61061684609 0.0 1e-12
1.75691396905 0.0 1e-12
1.91689716068 0.0 1e-12
2.09184675018 0.0 1e-12
2.28316284128 0.0 1e-12
2.49237651717 0.0 1e-12
2.72116209359 0.0 1e-12
2.9713505182 0.0 1e-12
3.24494402346 0.0 1e-12
3.54413215032 6.70378404719e-08 2.1199226531e-08
3.87130927089 1.66014670571e-07 3.53944466913e-08
4.22909375032 1.85358100038e-07 4.04484535283e-08
4.62034890135 4.16273842703e-07 6.42324484307e-08
5.0482058991 6.58415618572e-07 8.57184123546e-08
5.51608883953 1.01705041759e-06 1.13005601955e-07
6.02774214214 1.06206885183e-06 1.226371475e-07
6.58726051619 1.84670832164e-06 1.72206438935e-07
7.19912173021 1.7685441377e-06 1.79568450808e-07
7.86822244716 3.18138324764e-06 2.54714512995e-07
8.59991741193 3.59067469737e-06 2.86567038236e-07
9.40006230475 4.68410835539e-06 3.48167032095e-07
10.2750606037 5.41123650267e-06 3.98921647585e-07
11.231914831 7.13574522121e-06 4.82188976871e-07
12.2782825936 8.83278826382e-06 5.72544624195e-07
13.422537866 9.95685836891e-06 6.45407266961e-07
14.6738380066 1.02982817512e-05 6.94310014027e-07
16.042197043 1.3171676968e-05 8.34721111468e-07
17.5385658132 1.57028680725e-05 9.66444721848e-07
19.1749196038 1.90800465837e-05 1.1282268061e-06
20.9643539877 2.35183273133e-05 1.32092086178e-06
22.9211896259 2.53964392225e-05 1.46382642117e-06
25.0610868745 2.99720317152e-05 1.68605851245e-06
27.4011711134 3.51194460673e-05 1.93033933438e-06
29.9601697982 4.19456638234e-05 2.22311573641e-06
32.7585623347 4.3032892424e-05 2.39071624578e-06
35.8187439733 4.85505359907e-05 2.67667769449e-06
39.1652050358 5.2722027278e-05 2.95186682354e-06
42.8247269093 6.17337766117e-05 3.36285309432e-06
46.8265963743 7.4509942188e-05 3.90538212904e-06
51.2028399846 7.65827295607e-05 4.18416148877e-06
55.9884803718 8.89970971663e-05 4.75709494305e-06
61.2218165285 9.38833660267e-05 5.16029649038e-06
66.9447303107 0.000111160259181 5.88322479198e-06
73.2030216143 0.000110085381787 6.17328166788e-06
